Entry	Entry Name	Protein names	Organism	EC number	UniRef90	Species	Enzyme
A0A6N3DSE6	A0A6N3DSE6_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	[Ruminococcus] torques	4.2.1.10	UniRef90_D4M4F4	Ruminococcus_torques	aroD
A5KKI3	A5KKI3_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	[Ruminococcus] torques ATCC 27756	4.2.1.10	UniRef90_A0A828T4H4	Ruminococcus_torques	aroD
R5QUC0	R5QUC0_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	[Ruminococcus] torques CAG:61	4.2.1.10	UniRef90_A0A828T4H4	Ruminococcus_torques	aroD
D4M4F4	D4M4F4_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	[Ruminococcus] torques L2-14	4.2.1.10	UniRef90_D4M4F4	Ruminococcus_torques	aroD
A0A174ZXC8	A0A174ZXC8_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	[Ruminococcus] torques	1.1.1.25	UniRef90_A0A1C6EGR2	Ruminococcus_torques	aroE
A0A173TX07	A0A173TX07_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	[Ruminococcus] torques	1.1.1.25	UniRef90_A0A173RLF4	Ruminococcus_torques	aroE
A0A173XEY9	A0A173XEY9_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	[Ruminococcus] torques	1.1.1.25	UniRef90_A0A828T1W6	Ruminococcus_torques	aroE
A0A564UP64	A0A564UP64_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	[Ruminococcus] torques	1.1.1.25	UniRef90_A0A1C6EGR2	Ruminococcus_torques	aroE
A0A6N3F5G1	A0A6N3F5G1_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	[Ruminococcus] torques	1.1.1.25	UniRef90_A0A1C6EGR2	Ruminococcus_torques	aroE
A5KQV2	A5KQV2_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	[Ruminococcus] torques ATCC 27756	1.1.1.25	UniRef90_A0A828T1W6	Ruminococcus_torques	aroE
R5QD39	R5QD39_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	[Ruminococcus] torques CAG:61	1.1.1.25	UniRef90_A0A828T1W6	Ruminococcus_torques	aroE
D4M0Q6	D4M0Q6_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	[Ruminococcus] torques L2-14	1.1.1.25	UniRef90_A0A1C6EGR2	Ruminococcus_torques	aroE
A0A175ABM5	A0A175ABM5_9FIRM	Shikimate dehydrogenase (EC 1.1.1.25)	[Ruminococcus] torques	1.1.1.25	UniRef90_A0A175ABM5	Ruminococcus_torques	aroE
A0A174E8A3	A0A174E8A3_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	[Ruminococcus] torques	2.7.1.71	UniRef90_A0A828T3G2	Ruminococcus_torques	aroK_L
A0A564TJ23	A0A564TJ23_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	[Ruminococcus] torques	2.7.1.71	UniRef90_A0A174ZD45	Ruminococcus_torques	aroK_L
A0A173XL16	A0A173XL16_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	[Ruminococcus] torques	2.7.1.71	UniRef90_A0A828T684	Ruminococcus_torques	aroK_L
A0A175A9L1	A0A175A9L1_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	[Ruminococcus] torques	2.7.1.71	UniRef90_A0A175A9L1	Ruminococcus_torques	aroK_L
A0A6N2YPY8	A0A6N2YPY8_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	[Ruminococcus] torques	2.7.1.71	UniRef90_A0A174ZD45	Ruminococcus_torques	aroK_L
A0A174ZD45	A0A174ZD45_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	[Ruminococcus] torques	2.7.1.71	UniRef90_A0A174ZD45	Ruminococcus_torques	aroK_L
A0A4Q5C7K3	A0A4Q5C7K3_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	[Ruminococcus] torques	2.7.1.71	UniRef90_A0A828T684	Ruminococcus_torques	aroK_L
A0A6N3F560	A0A6N3F560_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	[Ruminococcus] torques	2.7.1.71	UniRef90_A0A175A9L1	Ruminococcus_torques	aroK_L
A0A564UP53	A0A564UP53_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	[Ruminococcus] torques	2.7.1.71	UniRef90_A0A175A9L1	Ruminococcus_torques	aroK_L
A5KKZ8	A5KKZ8_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	[Ruminococcus] torques ATCC 27756	2.7.1.71	UniRef90_A0A828T3G2	Ruminococcus_torques	aroK_L
R5QFB3	R5QFB3_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	[Ruminococcus] torques CAG:61	2.7.1.71	UniRef90_A0A828T684	Ruminococcus_torques	aroK_L
A5KR60	A5KR60_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	[Ruminococcus] torques ATCC 27756	2.7.1.71	UniRef90_A0A828T684	Ruminococcus_torques	aroK_L
D4M072	D4M072_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	[Ruminococcus] torques L2-14	2.7.1.71	UniRef90_A0A174ZD45	Ruminococcus_torques	aroK_L
R5QWJ2	R5QWJ2_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	[Ruminococcus] torques CAG:61	2.7.1.71	UniRef90_A0A828T3G2	Ruminococcus_torques	aroK_L
D4M0Q7	D4M0Q7_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	[Ruminococcus] torques L2-14	2.7.1.71	UniRef90_A0A175A9L1	Ruminococcus_torques	aroK_L
A0A174C9F1	A0A174C9F1_9FIRM	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	[Ruminococcus] torques	2.5.1.19	UniRef90_A0A828SSD9	Ruminococcus_torques	aroA
A0A174Z4K5	A0A174Z4K5_9FIRM	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	[Ruminococcus] torques	2.5.1.19	UniRef90_A0A174Z4K5	Ruminococcus_torques	aroA
A0A564TLT4	A0A564TLT4_9FIRM	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	[Ruminococcus] torques	2.5.1.19	UniRef90_A0A174Z4K5	Ruminococcus_torques	aroA
A5KPZ2	A5KPZ2_9FIRM	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	[Ruminococcus] torques ATCC 27756	2.5.1.19	UniRef90_A0A828SSD9	Ruminococcus_torques	aroA
D4M1X0	D4M1X0_9FIRM	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	[Ruminococcus] torques L2-14	2.5.1.19	UniRef90_A0A174Z4K5	Ruminococcus_torques	aroA
R5QXR7	R5QXR7_9FIRM	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	[Ruminococcus] torques CAG:61	2.5.1.19	UniRef90_A0A828SSD9	Ruminococcus_torques	aroA
A0A564SRF2	A0A564SRF2_9FIRM	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	[Ruminococcus] torques	4.2.3.5	UniRef90_D4M5M5	Ruminococcus_torques	aroC
A0A174DMB9	A0A174DMB9_9FIRM	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	[Ruminococcus] torques	4.2.3.5	UniRef90_A0A828T1Q3	Ruminococcus_torques	aroC
A0A174Y7C6	A0A174Y7C6_9FIRM	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	[Ruminococcus] torques	4.2.3.5	UniRef90_D4M5M5	Ruminococcus_torques	aroC
R5QZY3	R5QZY3_9FIRM	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	[Ruminococcus] torques CAG:61	4.2.3.5	UniRef90_A0A828T1Q3	Ruminococcus_torques	aroC
A5KQ97	A5KQ97_9FIRM	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	[Ruminococcus] torques ATCC 27756	4.2.3.5	UniRef90_A0A828T1Q3	Ruminococcus_torques	aroC
D4M5M5	D4M5M5_9FIRM	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	[Ruminococcus] torques L2-14	4.2.3.5	UniRef90_D4M5M5	Ruminococcus_torques	aroC
A0A395X4G7	A0A395X4G7_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A174SJC1	Blautia_obeum	aroF_G_H
A0A414J0Q8	A0A414J0Q8_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A174SJC1	Blautia_obeum	aroF_G_H
A0A414I459	A0A414I459_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A174SJC1	Blautia_obeum	aroF_G_H
A0A414J7V6	A0A414J7V6_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A1C5V8C7	Blautia_obeum	aroF_G_H
A0A414K7R5	A0A414K7R5_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A174SJC1	Blautia_obeum	aroF_G_H
A0A4Q5GCC8	A0A4Q5GCC8_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A174SJC1	Blautia_obeum	aroF_G_H
A0A173ZPE4	A0A173ZPE4_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A173XZ59	Blautia_obeum	aroF_G_H
A0A174EN89	A0A174EN89_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A173XZ59	Blautia_obeum	aroF_G_H
A0A174TE43	A0A174TE43_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A173XZ59	Blautia_obeum	aroF_G_H
A0A367G3J3	A0A367G3J3_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A564W5Q6	Blautia_obeum	aroF_G_H
A0A3E5E8S8	A0A3E5E8S8_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A174SJC1	Blautia_obeum	aroF_G_H
A0A415HPR6	A0A415HPR6_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A1C5V8C7	Blautia_obeum	aroF_G_H
A0A564UV71	A0A564UV71_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A174SJC1	Blautia_obeum	aroF_G_H
A0A173XWF3	A0A173XWF3_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A174R9A8	Blautia_obeum	aroF_G_H
A0A174R9A8	A0A174R9A8_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A174R9A8	Blautia_obeum	aroF_G_H
A0A174FBV1	A0A174FBV1_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A1C5V8C7	Blautia_obeum	aroF_G_H
A0A174I5E9	A0A174I5E9_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A174SJC1	Blautia_obeum	aroF_G_H
A0A174SJC1	A0A174SJC1_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum	2.5.1.54	UniRef90_A0A174SJC1	Blautia_obeum	aroF_G_H
D4LX95	D4LX95_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum A2-162	2.5.1.54	UniRef90_A0A1C5V8C7	Blautia_obeum	aroF_G_H
D4LV63	D4LV63_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum A2-162	2.5.1.54	UniRef90_A0A174SJC1	Blautia_obeum	aroF_G_H
A5ZYJ4	A5ZYJ4_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum ATCC 29174	2.5.1.54	UniRef90_A0A174SJC1	Blautia_obeum	aroF_G_H
A5ZPC1	A5ZPC1_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia obeum ATCC 29174	2.5.1.54	UniRef90_A0A1C5V8C7	Blautia_obeum	aroF_G_H
A0A174KGY6	A0A174KGY6_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia obeum	4.2.3.4	UniRef90_A5ZQL3	Blautia_obeum	aroB
A0A367G759	A0A367G759_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia obeum	4.2.3.4	UniRef90_U2D276	Blautia_obeum	aroB
A0A414SL15	A0A414SL15_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia obeum	4.2.3.4	UniRef90_A5ZQL3	Blautia_obeum	aroB
A0A174SEJ2	A0A174SEJ2_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia obeum	4.2.3.4	UniRef90_A0A173WY15	Blautia_obeum	aroB
A0A412L502	A0A412L502_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia obeum	4.2.3.4	UniRef90_A5ZQL3	Blautia_obeum	aroB
A0A4Q5GGV0	A0A4Q5GGV0_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia obeum	4.2.3.4	UniRef90_A5ZQL3	Blautia_obeum	aroB
A0A173YBB8	A0A173YBB8_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia obeum	4.2.3.4	UniRef90_A0A173WY15	Blautia_obeum	aroB
A0A174EJP5	A0A174EJP5_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia obeum	4.2.3.4	UniRef90_A5ZQL3	Blautia_obeum	aroB
A0A3E5ABL8	A0A3E5ABL8_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia obeum	4.2.3.4	UniRef90_A5ZQL3	Blautia_obeum	aroB
A0A414ELZ0	A0A414ELZ0_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia obeum	4.2.3.4	UniRef90_D4LT42	Blautia_obeum	aroB
A0A174FW04	A0A174FW04_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia obeum	4.2.3.4	UniRef90_A0A173WY15	Blautia_obeum	aroB
A0A415LM46	A0A415LM46_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia obeum	4.2.3.4	UniRef90_A5ZQL3	Blautia_obeum	aroB
A0A395XA67	A0A395XA67_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia obeum	4.2.3.4	UniRef90_A5ZQL3	Blautia_obeum	aroB
A0A411ZS10	A0A411ZS10_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia obeum	4.2.3.4	UniRef90_A5ZQL3	Blautia_obeum	aroB
D4LT42	D4LT42_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia obeum A2-162	4.2.3.4	UniRef90_D4LT42	Blautia_obeum	aroB
A5ZQL3	A5ZQL3_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia obeum ATCC 29174	4.2.3.4	UniRef90_A5ZQL3	Blautia_obeum	aroB
A0A174QCX3	A0A174QCX3_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia obeum	4.2.1.10	UniRef90_A0A174R912	Blautia_obeum	aroD
A0A367G1A6	A0A367G1A6_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia obeum	4.2.1.10	UniRef90_U2EP34	Blautia_obeum	aroD
A0A395XB20	A0A395XB20_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia obeum	4.2.1.10	UniRef90_A5ZMN6	Blautia_obeum	aroD
A0A396FXM4	A0A396FXM4_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia obeum	4.2.1.10	UniRef90_A5ZMN6	Blautia_obeum	aroD
A0A414W3V7	A0A414W3V7_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia obeum	4.2.1.10	UniRef90_A5ZMN6	Blautia_obeum	aroD
A0A415LPR2	A0A415LPR2_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia obeum	4.2.1.10	UniRef90_A5ZMN6	Blautia_obeum	aroD
A0A4Q5GKD6	A0A4Q5GKD6_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia obeum	4.2.1.10	UniRef90_A5ZMN6	Blautia_obeum	aroD
A0A174B0H8	A0A174B0H8_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia obeum	4.2.1.10	UniRef90_A0A174R912	Blautia_obeum	aroD
A0A174BAT6	A0A174BAT6_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia obeum	4.2.1.10	UniRef90_A5ZMN6	Blautia_obeum	aroD
A0A414J8F8	A0A414J8F8_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia obeum	4.2.1.10	UniRef90_A5ZMN6	Blautia_obeum	aroD
A0A174L3C2	A0A174L3C2_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia obeum	4.2.1.10	UniRef90_A5ZMN6	Blautia_obeum	aroD
A0A3E5EMJ5	A0A3E5EMJ5_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia obeum	4.2.1.10	UniRef90_A5ZMN6	Blautia_obeum	aroD
A0A174BII2	A0A174BII2_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia obeum	4.2.1.10	UniRef90_A0A174R912	Blautia_obeum	aroD
A0A454HHI1	A0A454HHI1_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia obeum	4.2.1.10	UniRef90_A5ZMN6	Blautia_obeum	aroD
A0A564TA10	A0A564TA10_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia obeum	4.2.1.10	UniRef90_A5ZMN6	Blautia_obeum	aroD
A5ZMN6	A5ZMN6_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia obeum ATCC 29174	4.2.1.10	UniRef90_A5ZMN6	Blautia_obeum	aroD
D4LQQ2	D4LQQ2_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia obeum A2-162	4.2.1.10	UniRef90_A5ZMN6	Blautia_obeum	aroD
A0A174QHB2	A0A174QHB2_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174R530	Blautia_obeum	aroE
A0A395XBX7	A0A395XBX7_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174BAC6	Blautia_obeum	aroE
A0A3E5ENF0	A0A3E5ENF0_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174BAC6	Blautia_obeum	aroE
A0A412KLG9	A0A412KLG9_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174BAC6	Blautia_obeum	aroE
A0A414J8I0	A0A414J8I0_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174RF09	Blautia_obeum	aroE
A0A173Y310	A0A173Y310_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174K3D1	Blautia_obeum	aroE
A0A3E5A8A2	A0A3E5A8A2_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174KUQ7	Blautia_obeum	aroE
A0A414J8R0	A0A414J8R0_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174KUQ7	Blautia_obeum	aroE
A0A415LPD3	A0A415LPD3_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174KUQ7	Blautia_obeum	aroE
A0A564T981	A0A564T981_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174BAC6	Blautia_obeum	aroE
A0A174AZ72	A0A174AZ72_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174R530	Blautia_obeum	aroE
A0A174KUQ7	A0A174KUQ7_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174KUQ7	Blautia_obeum	aroE
A0A174RE39	A0A174RE39_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174K3D1	Blautia_obeum	aroE
A0A367G1M7	A0A367G1M7_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A1C5TFQ8	Blautia_obeum	aroE
A0A367G329	A0A367G329_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174R530	Blautia_obeum	aroE
A0A395X649	A0A395X649_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A395X649	Blautia_obeum	aroE
A0A396G6E7	A0A396G6E7_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174KUQ7	Blautia_obeum	aroE
A0A173WU39	A0A173WU39_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174K3D1	Blautia_obeum	aroE
A0A174B1L5	A0A174B1L5_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174B1L5	Blautia_obeum	aroE
A0A174BAC6	A0A174BAC6_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174BAC6	Blautia_obeum	aroE
A0A174KUJ0	A0A174KUJ0_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174BAC6	Blautia_obeum	aroE
A0A367G0X3	A0A367G0X3_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A564W572	Blautia_obeum	aroE
A0A395ZYN6	A0A395ZYN6_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174BAC6	Blautia_obeum	aroE
A0A174B7J0	A0A174B7J0_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174KUQ7	Blautia_obeum	aroE
A0A174QKN5	A0A174QKN5_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia obeum	1.1.1.25	UniRef90_A0A174B1L5	Blautia_obeum	aroE
A0A174QUP1	A0A174QUP1_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	Blautia obeum	2.7.1.71	UniRef90_A0A174QUP1	Blautia_obeum	aroK_L
A0A3E5EMZ2	A0A3E5EMZ2_9FIRM	Shikimate kinase (SK) (EC 2.7.1.71)	Blautia obeum	2.7.1.71	UniRef90_A0A174B533	Blautia_obeum	aroK_L
