Entry	Entry Name	Protein names	Organism	EC number	UniRef90	Species
A0A412KD69	A0A412KD69_BIFAD	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium adolescentis	2.5.1.19	UniRef90_C0BSX5	Bifidobacterium_adolescentis
A0A415FUE0	A0A415FUE0_BIFAD	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium adolescentis	2.5.1.19	UniRef90_C0BSX5	Bifidobacterium_adolescentis
A0A173W6W2	A0A173W6W2_BIFAD	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium adolescentis	2.5.1.19	UniRef90_C0BSX5	Bifidobacterium_adolescentis
A7A654	A7A654_BIFAD	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium adolescentis L2-32	2.5.1.19	UniRef90_C0BSX5	Bifidobacterium_adolescentis
A0A087DKA6	A0A087DKA6_BIFAD	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium adolescentis JCM 15918	2.5.1.19	UniRef90_C0BSX5	Bifidobacterium_adolescentis
A1A1A2	AROC_BIFAA	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a)	4.2.3.5	UniRef90_A1A1A2	Bifidobacterium_adolescentis
A0A076JNG0	A0A076JNG0_BIFAD	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Bifidobacterium adolescentis	4.2.3.5	UniRef90_A1A1A2	Bifidobacterium_adolescentis
A0A2R4G2V9	A0A2R4G2V9_BIFAD	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Bifidobacterium adolescentis	4.2.3.5	UniRef90_A1A1A2	Bifidobacterium_adolescentis
A0A412KDB5	A0A412KDB5_BIFAD	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Bifidobacterium adolescentis	4.2.3.5	UniRef90_A1A1A2	Bifidobacterium_adolescentis
A0A1X3A184	A0A1X3A184_BIFAD	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Bifidobacterium adolescentis	4.2.3.5	UniRef90_A1A1A2	Bifidobacterium_adolescentis
A7A632	A7A632_BIFAD	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Bifidobacterium adolescentis L2-32	4.2.3.5	UniRef90_A1A1A2	Bifidobacterium_adolescentis
A0A087DSQ5	A0A087DSQ5_BIFAD	Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)	Bifidobacterium adolescentis JCM 15918	4.2.3.5	UniRef90_A1A1A2	Bifidobacterium_adolescentis
A0A076JF75	A0A076JF75_BIFAD	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium adolescentis	2.5.1.54	UniRef90_A1A022	Bifidobacterium_adolescentis
A0AAN4VIU7	A0AAN4VIU7_BIFAD	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium adolescentis	2.5.1.54	UniRef90_A1A022	Bifidobacterium_adolescentis
A0A7J5NB11	A0A7J5NB11_BIFAD	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium adolescentis	2.5.1.54	UniRef90_A1A022	Bifidobacterium_adolescentis
A0A174BDA9	A0A174BDA9_BIFAD	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium adolescentis	2.5.1.54	UniRef90_A1A022	Bifidobacterium_adolescentis
A0A1X2ZU28	A0A1X2ZU28_BIFAD	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium adolescentis	2.5.1.54	UniRef90_A1A022	Bifidobacterium_adolescentis
A0A415FTH2	A0A415FTH2_BIFAD	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium adolescentis	2.5.1.54	UniRef90_A1A022	Bifidobacterium_adolescentis
A0A0G9MG22	A0A0G9MG22_BIFAD	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium adolescentis	2.5.1.54	UniRef90_A1A022	Bifidobacterium_adolescentis
A0A1X3A3I3	A0A1X3A3I3_BIFAD	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium adolescentis	2.5.1.54	UniRef90_A1A022	Bifidobacterium_adolescentis
A7A3W6	A7A3W6_BIFAD	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium adolescentis L2-32	2.5.1.54	UniRef90_A1A022	Bifidobacterium_adolescentis
A0A087DLQ4	A0A087DLQ4_BIFAD	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium adolescentis JCM 15918	2.5.1.54	UniRef90_A1A022	Bifidobacterium_adolescentis
A1A022	A1A022_BIFAA	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a)	2.5.1.54	UniRef90_A1A022	Bifidobacterium_adolescentis
A0AB73PWQ6	A0AB73PWQ6_BIFAD	Phospho-2-dehydro-3-deoxyheptonate aldolase	Bifidobacterium adolescentis		UniRef90_A1A022	Bifidobacterium_adolescentis
A0A415FX20	A0A415FX20_BIFAD	Ppx/GppA family phosphatase	Bifidobacterium adolescentis		UniRef90_A0A087D293	Bifidobacterium_adolescentis
A0A6I0VDP8	A0A6I0VDP8_BIFAD	Ppx/GppA family phosphatase	Bifidobacterium adolescentis		UniRef90_A0A087D293	Bifidobacterium_adolescentis
A0A076JGH1	A0A076JGH1_BIFAD	Ppx/GppA family phosphatase	Bifidobacterium adolescentis		UniRef90_A0A087D293	Bifidobacterium_adolescentis
A0A2R4G2J9	A0A2R4G2J9_BIFAD	Exopolyphosphatase	Bifidobacterium adolescentis		UniRef90_A0A087D293	Bifidobacterium_adolescentis
A0AAN5AFH0	A0AAN5AFH0_BIFAD	Exopolyphosphatase	Bifidobacterium adolescentis		UniRef90_A0A087D293	Bifidobacterium_adolescentis
A0A0C2UK97	A0A0C2UK97_BIFAD	Exopolyphosphatase (Ppx/GppA family phosphatase)	Bifidobacterium adolescentis		UniRef90_A0A087D293	Bifidobacterium_adolescentis
A0A0G9MEK0	A0A0G9MEK0_BIFAD	Exopolyphosphatase (EC 3.6.1.40) (Ppx/GppA family phosphatase) (Ppx/GppA phosphatase family protein)	Bifidobacterium adolescentis	3.6.1.40	UniRef90_A0A087D293	Bifidobacterium_adolescentis
A0A1X2ZM09	A0A1X2ZM09_BIFAD	Exopolyphosphatase	Bifidobacterium adolescentis		UniRef90_A0A087D293	Bifidobacterium_adolescentis
A0A087DKL2	A0A087DKL2_BIFAD	Exopolyphosphatase-like protein (EC 4.2.3.4)	Bifidobacterium adolescentis JCM 15918	4.2.3.4	UniRef90_A0A087D293	Bifidobacterium_adolescentis
A7A598	A7A598_BIFAD	Ppx/GppA phosphatase family protein	Bifidobacterium adolescentis L2-32		UniRef90_A0A087D293	Bifidobacterium_adolescentis
A1A146	A1A146_BIFAA	Possible exopolyphosphatase-like protein	Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a)		UniRef90_A0A087D293	Bifidobacterium_adolescentis
A0A076JM53	A0A076JM53_BIFAD	Saccharopine dehydrogenase NADP-binding domain-containing protein (Shikimate 5-dehydrogenase (EC 1.1.1.25)) (Shikimate dehydrogenase)	Bifidobacterium adolescentis	1.1.1.25	UniRef90_A0A076JM53	Bifidobacterium_adolescentis
A0A2R4G3G9	A0A2R4G3G9_BIFAD	Shikimate dehydrogenase	Bifidobacterium adolescentis		UniRef90_A0A076JM53	Bifidobacterium_adolescentis
A0AAW5JTS8	A0AAW5JTS8_BIFAD	Saccharopine dehydrogenase NADP-binding domain-containing protein	Bifidobacterium adolescentis		UniRef90_A0A076JM53	Bifidobacterium_adolescentis
A0A1X2ZXJ9	A0A1X2ZXJ9_BIFAD	Shikimate 5-dehydrogenase	Bifidobacterium adolescentis		UniRef90_A0A076JM53	Bifidobacterium_adolescentis
A0AAN4VP17	A0AAN4VP17_BIFAD	Shikimate 5-dehydrogenase	Bifidobacterium adolescentis		UniRef90_A0A076JM53	Bifidobacterium_adolescentis
A0A412KBJ1	A0A412KBJ1_BIFAD	Shikimate dehydrogenase	Bifidobacterium adolescentis		UniRef90_A0A076JM53	Bifidobacterium_adolescentis
A0A087DSB7	A0A087DSB7_BIFAD	Shikimate 5-dehydrogenase (EC 1.1.1.25)	Bifidobacterium adolescentis JCM 15918	1.1.1.25	UniRef90_A0A076JM53	Bifidobacterium_adolescentis
A7A5M5	A7A5M5_BIFAD	Shikimate dehydrogenase substrate binding domain protein	Bifidobacterium adolescentis L2-32		UniRef90_A0A076JM53	Bifidobacterium_adolescentis
A1A1N6	A1A1N6_BIFAA	Probable shikimate 5-dehydrogenase	Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a)		UniRef90_A0A076JM53	Bifidobacterium_adolescentis
A0A1X2Z0G2	A0A1X2Z0G2_BIFAD	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium adolescentis	2.5.1.19	UniRef90_A1A183	Bifidobacterium_adolescentis
A0A1X2ZUT4	A0A1X2ZUT4_BIFAD	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium adolescentis	2.5.1.19	UniRef90_A1A183	Bifidobacterium_adolescentis
A0A2R4G5M0	A0A2R4G5M0_BIFAD	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium adolescentis	2.5.1.19	UniRef90_A1A183	Bifidobacterium_adolescentis
A0A1E7Y079	A0A1E7Y079_BIFAD	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium adolescentis	2.5.1.19	UniRef90_A1A183	Bifidobacterium_adolescentis
A1A183	A1A183_BIFAA	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a)	2.5.1.19	UniRef90_A1A183	Bifidobacterium_adolescentis
A0A6L8RJB1	A0A6L8RJB1_9ACTN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Collinsella aerofaciens	2.5.1.54	UniRef90_A0A3C1CXM9	Collinsella_aerofaciens
A0A173YB84	A0A173YB84_9ACTN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Collinsella aerofaciens	2.5.1.54	UniRef90_A0A3C1CXM9	Collinsella_aerofaciens
A0A2D1TXP0	A0A2D1TXP0_9ACTN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Collinsella aerofaciens	2.5.1.54	UniRef90_A0A3C1CXM9	Collinsella_aerofaciens
A0A381K4R3	A0A381K4R3_9ACTN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Collinsella aerofaciens	2.5.1.54	UniRef90_A0A3C1CXM9	Collinsella_aerofaciens
A0A5K1JEK9	A0A5K1JEK9_9ACTN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Collinsella aerofaciens	2.5.1.54	UniRef90_A0A3C1CXM9	Collinsella_aerofaciens
A0A5K1IWT4	A0A5K1IWT4_9ACTN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Collinsella aerofaciens	2.5.1.54	UniRef90_A0A3C1CXM9	Collinsella_aerofaciens
A0A6N9JFV5	A0A6N9JFV5_9ACTN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Collinsella aerofaciens	2.5.1.54	UniRef90_A0A3C1CXM9	Collinsella_aerofaciens
A0A174MCK1	A0A174MCK1_9ACTN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Collinsella aerofaciens	2.5.1.54	UniRef90_A0A3C1CXM9	Collinsella_aerofaciens
A4E915	A4E915_COLAA	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Collinsella aerofaciens (strain ATCC 25986 / DSM 3979 / JCM 10188 / KCTC 3647 / NCTC 11838 / VPI 1003)	2.5.1.54	UniRef90_A0A3C1CXM9	Collinsella_aerofaciens
A0A2D1TWL3	A0A2D1TWL3_9ACTN	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Collinsella aerofaciens	2.5.1.54	UniRef90_A0A2D1TWL3	Collinsella_aerofaciens
A0AAW6ANV8	A0AAW6ANV8_9ACTN	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Collinsella aerofaciens	2.5.1.54	UniRef90_A0A2D1TWL3	Collinsella_aerofaciens
A0A173XQV7	A0A173XQV7_9ACTN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Collinsella aerofaciens	2.5.1.54	UniRef90_A0A2D1TWL3	Collinsella_aerofaciens
A0A6L8RM50	A0A6L8RM50_9ACTN	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Collinsella aerofaciens	2.5.1.54	UniRef90_A0A2D1TWL3	Collinsella_aerofaciens
A0A174HV62	A0A174HV62_9ACTN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Collinsella aerofaciens	2.5.1.54	UniRef90_A0A2D1TWL3	Collinsella_aerofaciens
A0A5K1IEH8	A0A5K1IEH8_9ACTN	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Collinsella aerofaciens	2.5.1.54	UniRef90_A0A2D1TWL3	Collinsella_aerofaciens
A0A858B686	A0A858B686_COLAA	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Collinsella aerofaciens (strain ATCC 25986 / DSM 3979 / JCM 10188 / KCTC 3647 / NCTC 11838 / VPI 1003)	2.5.1.54	UniRef90_A0A2D1TWL3	Collinsella_aerofaciens
A4ECF4	A4ECF4_COLAA	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54)	Collinsella aerofaciens (strain ATCC 25986 / DSM 3979 / JCM 10188 / KCTC 3647 / NCTC 11838 / VPI 1003)	2.5.1.54	UniRef90_A0A2D1TWL3	Collinsella_aerofaciens
A0A5K1ILQ0	A0A5K1ILQ0_9ACTN	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Collinsella aerofaciens	4.2.3.4	UniRef90_A0A5K1IJZ8	Collinsella_aerofaciens
A0A6N3EAW6	A0A6N3EAW6_9ACTN	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Collinsella aerofaciens	4.2.3.4	UniRef90_A0A5K1IJZ8	Collinsella_aerofaciens
A0A173W4T0	A0A173W4T0_9ACTN	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Collinsella aerofaciens	4.2.3.4	UniRef90_A0A5K1IJZ8	Collinsella_aerofaciens
A0A2D1TWI7	A0A2D1TWI7_9ACTN	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Collinsella aerofaciens	4.2.3.4	UniRef90_A0A5K1IJZ8	Collinsella_aerofaciens
A0A5K1IJZ8	A0A5K1IJZ8_9ACTN	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Collinsella aerofaciens	4.2.3.4	UniRef90_A0A5K1IJZ8	Collinsella_aerofaciens
A0AAW6AKQ1	A0AAW6AKQ1_9ACTN	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Collinsella aerofaciens	4.2.3.4	UniRef90_A0A5K1IJZ8	Collinsella_aerofaciens
A0A5K1JAR9	A0A5K1JAR9_9ACTN	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Collinsella aerofaciens	4.2.3.4	UniRef90_A0A5K1IJZ8	Collinsella_aerofaciens
A0A6L8RJT9	A0A6L8RJT9_9ACTN	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Collinsella aerofaciens	4.2.3.4	UniRef90_A0A5K1IJZ8	Collinsella_aerofaciens
A0A174HWC2	A0A174HWC2_9ACTN	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Collinsella aerofaciens	4.2.3.4	UniRef90_A0A5K1IJZ8	Collinsella_aerofaciens
A0A6N9JJT6	A0A6N9JJT6_9ACTN	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Collinsella aerofaciens	4.2.3.4	UniRef90_A0A5K1IJZ8	Collinsella_aerofaciens
A4ECF2	A4ECF2_COLAA	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Collinsella aerofaciens (strain ATCC 25986 / DSM 3979 / JCM 10188 / KCTC 3647 / NCTC 11838 / VPI 1003)	4.2.3.4	UniRef90_A0A5K1IJZ8	Collinsella_aerofaciens
A0A6N3BPQ1	A0A6N3BPQ1_9ACTN	3-dehydroquinate synthase	Collinsella aerofaciens		UniRef90_A0A5K1J8R5	Collinsella_aerofaciens
A0A174IP65	A0A174IP65_9ACTN	3-dehydroquinate synthase	Collinsella aerofaciens		UniRef90_A0A5K1J8R5	Collinsella_aerofaciens
A0AAW6AGW2	A0AAW6AGW2_9ACTN	3-dehydroquinate synthase domain-containing protein	Collinsella aerofaciens		UniRef90_A0A5K1J8R5	Collinsella_aerofaciens
A0A2D1TVW9	A0A2D1TVW9_9ACTN	Uncharacterized protein	Collinsella aerofaciens		UniRef90_A0A5K1J8R5	Collinsella_aerofaciens
A0A5K1IP55	A0A5K1IP55_9ACTN	3-dehydroquinate synthase (EC 4.2.3.4)	Collinsella aerofaciens	4.2.3.4	UniRef90_A0A5K1J8R5	Collinsella_aerofaciens
A0A5K1J4G5	A0A5K1J4G5_9ACTN	3-dehydroquinate synthase (EC 4.2.3.4)	Collinsella aerofaciens	4.2.3.4	UniRef90_A0A5K1J8R5	Collinsella_aerofaciens
A0A5K1J8R5	A0A5K1J8R5_9ACTN	3-dehydroquinate synthase (EC 4.2.3.4)	Collinsella aerofaciens	4.2.3.4	UniRef90_A0A5K1J8R5	Collinsella_aerofaciens
A0A6L8RH96	A0A6L8RH96_9ACTN	Uncharacterized protein	Collinsella aerofaciens		UniRef90_A0A5K1J8R5	Collinsella_aerofaciens
A0A6N9JI99	A0A6N9JI99_9ACTN	Uncharacterized protein	Collinsella aerofaciens		UniRef90_A0A5K1J8R5	Collinsella_aerofaciens
A0A174CLD0	A0A174CLD0_9ACTN	3-dehydroquinate synthase	Collinsella aerofaciens		UniRef90_A0A5K1J8R5	Collinsella_aerofaciens
A4E6P7	A4E6P7_COLAA	Uncharacterized protein	Collinsella aerofaciens (strain ATCC 25986 / DSM 3979 / JCM 10188 / KCTC 3647 / NCTC 11838 / VPI 1003)		UniRef90_A0A5K1J8R5	Collinsella_aerofaciens
A0A5K1JAT1	A0A5K1JAT1_9ACTN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Collinsella aerofaciens	4.2.1.10	UniRef90_A0A096KLN5	Collinsella_aerofaciens
A0A6N3E7V2	A0A6N3E7V2_9ACTN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Collinsella aerofaciens	4.2.1.10	UniRef90_A0A096KLN5	Collinsella_aerofaciens
A0A5K1IJ72	A0A5K1IJ72_9ACTN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Collinsella aerofaciens	4.2.1.10	UniRef90_A0A096KLN5	Collinsella_aerofaciens
A0A5K1ILD7	A0A5K1ILD7_9ACTN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Collinsella aerofaciens	4.2.1.10	UniRef90_A0A096KLN5	Collinsella_aerofaciens
A0A6N9JKI9	A0A6N9JKI9_9ACTN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Collinsella aerofaciens	4.2.1.10	UniRef90_A0A096KLN5	Collinsella_aerofaciens
A0A2D1TWH4	A0A2D1TWH4_9ACTN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Collinsella aerofaciens	4.2.1.10	UniRef90_A0A096KLN5	Collinsella_aerofaciens
A0A173W7S2	A0A173W7S2_9ACTN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Collinsella aerofaciens	4.2.1.10	UniRef90_A0A096KLN5	Collinsella_aerofaciens
A0A6L8RMF5	A0A6L8RMF5_9ACTN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Collinsella aerofaciens	4.2.1.10	UniRef90_A0A096KLN5	Collinsella_aerofaciens
A0AAW6AIQ1	A0AAW6AIQ1_9ACTN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Collinsella aerofaciens	4.2.1.10	UniRef90_A0A096KLN5	Collinsella_aerofaciens
A0A174HVC1	A0A174HVC1_9ACTN	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Collinsella aerofaciens	4.2.1.10	UniRef90_A0A096KLN5	Collinsella_aerofaciens
A4ECE7	A4ECE7_COLAA	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	Collinsella aerofaciens (strain ATCC 25986 / DSM 3979 / JCM 10188 / KCTC 3647 / NCTC 11838 / VPI 1003)	4.2.1.10	UniRef90_A0A096KLN5	Collinsella_aerofaciens
A0A5K1IP72	A0A5K1IP72_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A096KME3	Collinsella_aerofaciens
A0A5K1J8U6	A0A5K1J8U6_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A096KME3	Collinsella_aerofaciens
A0AAW6AIS6	A0AAW6AIS6_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A096KME3	Collinsella_aerofaciens
A0A6N3BMR1	A0A6N3BMR1_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A096KME3	Collinsella_aerofaciens
A0A174CHN9	A0A174CHN9_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A096KME3	Collinsella_aerofaciens
A0A174IN08	A0A174IN08_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A096KME3	Collinsella_aerofaciens
A0A2D1TVX0	A0A2D1TVX0_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A096KME3	Collinsella_aerofaciens
A0A6N9JIJ2	A0A6N9JIJ2_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A096KME3	Collinsella_aerofaciens
A4E6P8	A4E6P8_COLAA	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens (strain ATCC 25986 / DSM 3979 / JCM 10188 / KCTC 3647 / NCTC 11838 / VPI 1003)	2.7.1.71	UniRef90_A0A096KME3	Collinsella_aerofaciens
A0A6L8RMG9	A0A6L8RMG9_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A173W759	Collinsella_aerofaciens
A0A5K1IKX7	A0A5K1IKX7_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A173W759	Collinsella_aerofaciens
A0A6N3EDC6	A0A6N3EDC6_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A173W759	Collinsella_aerofaciens
A0A6N9JKB5	A0A6N9JKB5_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A173W759	Collinsella_aerofaciens
A0A2D1TZW3	A0A2D1TZW3_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A173W759	Collinsella_aerofaciens
A0AAW6AJF1	A0AAW6AJF1_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A173W759	Collinsella_aerofaciens
A0A173W759	A0A173W759_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A173W759	Collinsella_aerofaciens
A0A174HS56	A0A174HS56_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A173W759	Collinsella_aerofaciens
A0A5K1IJE1	A0A5K1IJE1_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A173W759	Collinsella_aerofaciens
A0A5K1JA79	A0A5K1JA79_9ACTN	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens	2.7.1.71	UniRef90_A0A173W759	Collinsella_aerofaciens
A4ECE8	A4ECE8_COLAA	Shikimate kinase (SK) (EC 2.7.1.71)	Collinsella aerofaciens (strain ATCC 25986 / DSM 3979 / JCM 10188 / KCTC 3647 / NCTC 11838 / VPI 1003)	2.7.1.71	UniRef90_A0A173W759	Collinsella_aerofaciens
A0A173W4P8	A0A173W4P8_9ACTN	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Collinsella aerofaciens	2.5.1.19	UniRef90_A0A096LLE6	Collinsella_aerofaciens
A0A174HVF7	A0A174HVF7_9ACTN	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Collinsella aerofaciens	2.5.1.19	UniRef90_A0A096LLE6	Collinsella_aerofaciens
A0A6L8RJZ7	A0A6L8RJZ7_9ACTN	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	Collinsella aerofaciens	2.5.1.19	UniRef90_A0A096LLE6	Collinsella_aerofaciens
